Etablissement nom;Classification;Adresse;Code postal;Commune;Tarifs;Périodes (textuelles);Description fr
N'écoutez pas Mesdames – Michel Sardou;Spectacle;Grand Place;7000;Mons;Adulte : 3;Le 26/04/2021 : de 20h00 à h;"Le traditionnel Salon du Bon Vouloir revient cette année aux Anciens Abattoirs. Toujours aussi dynamique, il permet aux artistes de tous horizons de mettre à l’honneur leurs créations artistiques, toutes pratiques confondues.
 Cette année marquera la 117 e édition du Salon, l’occasion de (re)découvrir la vitalité et la diversité de la création plastique et artistique à Mons et dans sa région tout en s’inscrivant dans la tradition d’ouverture prônée par le Bon Vouloir depuis son origine.
  
  
 Réservation obligatoire"
La Belle au bois dormant;Spectacle;Grand-Place;7000;Mons;Gratuité :;Le 01/05/2021 : de 20h00 à h;"Trois minutes chrono pour déclamer son texte librement ! Ouvertes à tou·te·s, les soirées slam sont connues pour la variété et la richesse des textes, l’ambiance conviviale, l’écoute et le respect au-delà des différences, sur scène comme dans le public. Venez (re)découvrir cette poésie orale née à Chicago dans les années 1980, qui fait le bonheur des autodidactes et des amateur·rice·s comme des artistes issus du Hip-Hop, de la musique ou du théâtre. Un poème dit, un verre offert ! Pour ceux ou celles qui veulent se frotter à l’écriture ou peaufiner leur texte avant la scène, des ateliers gratuits vous attendent dès 18h…
  
 Avec le collectif enV.I.E.S
 Ateliers gratuits Pour ceux ou celles qui veulent se frotter à l’écriture ou peaufiner leur texte avant la scène, des ateliers gratuits vous attendent dès 18h…
  
 Réservation souhaitée pour les individuel·le·s et obligatoire pour les groupes : +32 (0)65 39 59 39 – public@surmars.be"
Laurent Gerra;Spectacle;Grand Place;7000;Mons;Adulte : de 25.80 à 29.80;Le 02/05/2021 : de 20h00 à h;
Une cérémonie;Spectacle;1 rue des passages;7000;Mons;Adulte : de 9.00 à 15.00;"Du 04/05/2021 au 06/05/2021 : 
Mardi : de 20h00 à h
Mercredi : de 20h00 à h";"Une ode au courage d’être soi
 Comment s’inventer soi-même ? À travers les souvenirs intimes de quatre jeunes femmes issues des première, deuxième et troisième générations de l’immigration, Julie Berès dresse le portrait d’une jeunesse souvent absente des plateaux de théâtre. Une femme voilée nous raconte sa découverte de l’islam, la trahison amoureuse, le poids des héritages. Se croisent ensuite trois autres témoignages tout aussi révoltés, drôles, singuliers et touchants, nous laissant entrevoir l’envers du décor.
  
  De Julie Bérès.
  Avec Lou-Adriana Bouziouane, Déborah Dozoul, Charmine Fariborzi et Séphora Pondi."
Carla Bruni;Spectacle;Grand-Place;7000;Mons;Adulte : de 42.00 à 62.00;Le 11/05/2021;
La voie de Johnny;Spectacle;Grand Place;7000;Mons;Adulte : 5.00;Le 19/05/2021 : de 20h00 à h;"Let’s dance !
 Nouvelle édition du concours chorégraphique organisé en partenariat avec la Maison des jeunes de Cuesmes et réunissant plus d’une centaine de danseurs·ses venu·e·s des quatre coins de Belgique et de France ! Ces artistes passionné·e·s, de tous styles confondus, nous offrent un spectacle unique et riche en émotions. Cerise sur le gâteau : la danseuse Hip-Hop et chorégraphe Lila Magnin viendra nous présenter son solo Azad.
  
  Concours organisé par le Maison des jeunes Robert Beugnies.
 

 Dans le cadre du Mons Street Festival, programmé sur Mars du samedi 07 au samedi 21 novembre."
Soledad;Spectacle;138 Rue de Nimy;7000;Mons;"Adulte : 5.00,
Gratuité :";Le 03/06/2021 : de 20h00 à 21h00;"Déambulation au cours de laquelle le public aura le sentiment d’entrer en communion avec la nature, de s’immiscer en elle, dans ses plus profonds secrets. Dans le groupe, les paroles deviennent murmures, le silence se fait peu à peu et s’impose. À pas feutrés, les marcheurs commencent leur migration, les sens en éveil, en quête de sons. Oh, surprise, les Chanteurs d’Oiseaux, trillent, sifflent, gazouillent… et les oiseaux leurs répondent. Des fauvettes apparaissent, elles s’approchent. Cri d’alarme d’un merle, cri d’effroi d’un geai, chant d’amour d’un pinson… une scène de vie se met en place et rappelle que, chez les êtres ailés, se jouent les mêmes enjeux que chez les humains. La nature est accueillante ou cruelle ; le paysage est le décor d’un récit que les artistes traduisent en musique. Une poésie de l’instant, un voyage unique aux sonorités lointaines ou familières."
Véronique Gallo;Spectacle;Grand-Place;7000;Mons;Adulte : de 39.00 à 65.00;Le 09/06/2021 : de 20h00 à h;"Jean-Baptiste Guégan, grand fan de Johnny depuis tout petit, il réincarne sa voix comme personne. Fermez les yeux et écoutez ce prodige musical, vous n’en croirez pas vos oreilles. Le phénomène vocal Jean-Baptiste Guégan se dirige sur la voie de Johnny et démarre une tournée dans grandes salles dès le mois de mai 2019. Révélé par l'émission « La France a un incroyable talent » au grand public, Jean-Baptiste a commencé sa carrière il y a pourtant bien longtemps dans les brumes de sa Bretagne natale. Il passera dans les plus belles salles de France en 2019 et 2020 et par le théâtre du Forum de Liège, en concert unique pour la Belgique, le dimanche 16 février 2020, où il sera accompagné de ses 11 musiciens bien sûr et pour 6 ou 7 de ses chansons par les 250 choristes inscrits à cette aventure. Propulsé sur le devant de la scène par « La France a un incroyable talent », l’émission de M6 dont il est l’un des treize finalistes, Jean-Baptiste Guégan, 36 ans, surprend par sa voix, troublante de ressemblance avec celle de Johnny Hallyday. Si elle a « la finesse de grain et l’épaisseur de celle de Johnny, il ne cherche jamais à le singer », se réjouit Marianne James, membre du jury du télé-crochet. Sa timidité et sa silhouette délicate tranchent avec l’aplomb et le charisme du défunt rockeur. Ce talent et cette simplicité ont touché Michel Mallory, parolier et ami de Johnny Hallyday (« Le Blues, ma guitare et moi »; «Un jour viendra. »..). « Jean-Baptiste est un garçon curieux de tout, sans artifice », apprécie-t-il. Les deux hommes se sont rencontrés l’été dernier, sur les recommandations insistantes d’un fan du mythique artiste. Michel Mallory n’était pas très enthousiaste, mais lorsqu’il a entendu Jean-Baptiste, la magie a opéré. « J’ai tout de suite senti qu’il avait les mêmes blessures, les mêmes douleurs que Johnny. Et quand il m’a chanté « Marie », j’ai fondu en larmes. Le temps d’une chanson, mon pote était revenu. » Ce 
  
  moment de grâce lui a donné l’envie de produire avec ce sosie vocal un disque, dont plusieurs titres avaient été écrits pour Johnny."
Reporté - Alain Chamfort;Spectacle;Grand Place;7000;Mons;Adulte : de 27.00 à 35.00;Le 17/10/2021 : de 20h00 à h;L'Hommage ultime à Freddie Mercury et à Queen, sur la scène du Théâtre Royal de Mons le 11 avril 2020. Plus qu’un groupe de reprises, les membres de CoverQueen s’approprient les morceaux originaux de Queen en y ajoutant leur propre personnalité. Fred CARAMIA, le chanteur, passionné par l'art lyrique, guitariste et pianiste, créé en 2006 avec son frère Alexandre, un groupe afin de rendre hommage à Queen et à son chanteur mythique, Freddie Mercury : c'est la naissance de CoverQueen. Respectant la musique originale de leurs ainés et cherchant à conserver l'esprit des concerts de Queen, le groupe CoverQueen propose un show à la fois vibrant et explosif ! Une voix énorme, des harmonies élégantes, des musiciens généreux, du gros son, un light-show brillantissime, une mise en scène soulignée par des effets spéciaux en font un spectacle exceptionnel. Exceptionnelle également par la participation sur le Tour 2018 de la soprano Claire Lairy qui interprète avec Fred CARAMIA des titres comme Barcelona et Guide me Home … moments uniques durant lesquels le temps suspend son vol ! Vous en prendrez plein les yeux, plein les oreilles et plein le cœur... et vous n'aurez pas envie que ça s'arrête.
Chippendales® Get Naughty! 2020 World Tour;Spectacle;Grand Place;7000;Mons;Adulte : de 29.00 à 45.00;Le 20/10/2021 : de 20h00 à h;"Artus dans la comédie Davidéjonatown sera jouée au Théâtre Royal de Mons le 02 avril 2020. Les habitants de Davidéjonatown, un patelin perdu du Far-West, choisissent leur nouveau shérif en opposant les candidats dans des duels à mort. Billy, modeste éleveur de cochons, apprend qu’il a été inscrit à son insu à la mortelle compétition... Pour sa première comédie co-écrite avec Romain Chevalier, Artus libère son humour toujours plus piquant et décalé, avec l’aide de complices aussi fêlés que Greg Romano, Sébastien Chartier, l'hallucinant Julien Schmidt et la délicieuse Céline Groussard, en multipliant les personnages les plus loufoques dans un western explosif qui repousse les limites du théâtre et de la bienséance. Distribution : Artus, Greg Romano, Sébastien Chartier, Julien Schmidt, Céline Groussard. 
  
  A découvrir au Théâtre Le Manège"
Olivier De Benoist - Le petit dernier;Spectacle;Grand Place;7000;Mons;Adulte : de 39.00 à 66.00;Le 21/10/2021 : de 20h00 à h;"Frédéric François est toujours au firmament des stars avec son dernier album, Les Femmes sont la lumière du monde, sorti en 2016. Des sonorités actuelles, des mélodies magnifiques et des textes splendides. Toutes les thématiques sont abordées ; L’amour, la passion et surtout les Femmes !"
Goldman Mania;Spectacle;Grand-Place;7000;Mons;Adulte : de 39.00 à 55.00;Le 07/11/2021;"""Ça y est mes loulous, ma décision est prise, je retourne au turbin, j'ai quelques ""broutilles"" en chantier et le caberlot qui chauffe !! Les 10 et 11 octobre 2020, je vous ferai « Mes Adieux Provisoires ». Pour commencer, à la Salle Pleyel à Paris, avant de partir gazouiller dans toute la France, Belgique, Suisse, Luxembourg et Dom Tom. Nous n'en avons peut-être pas l'air, mais nous voilà mes petits loulous en pleine répétition… Hé oui, pour préparer le nouveau récital de mes « adieux provisoires » Mes musicos veulent qu’on ressorte des chansons que je n’ai pas chantées depuis des lunes !Vous aurez donc peut-être droit à « celui d’Alice » ou « La porte de ta douche…», « Le cul de Lucette » ou « La petite Kurde », et d’autres. Si on réussit à mettre tout ça d’équerre… En tout cas, on va mettre le pacson ! Si on n’en profite pas tant qu’on est jeune !... Je vous embrasse. !!!"" Est-il encore besoin de présenter ce grand auteur compositeur interprète humaniste, au ton enjoué? Plus de 350 chansons à son actif, une quinzaine de livres, des contes... Maîtrisant les subtilités de la langue française et de l’argot, ses chansons posent des questions, certes sur un ton enfantin et apparemment naïf, avec un sourire malicieux, mais de manière tellement pertinente. Depuis plus de 50 ans, Pierre Perret dit «Pierrot» se démène pour nous divertir, nous instruire, nous mettre en garde et se lève pour dénoncer la moindre incohérence, la moindre injustice dans ce siècle étonnant, épatant, mais malheureusement aussi destructeur. Son répertoire, composé de chansons enfantines, comiques, grivoises légères ou engagées, navigue entre humour et tendresse."
Umberto Tozzi;Spectacle;Grand Place;7000;Mons;Adulte : de 29.5 à 39.0;Le 08/12/2021 : de 20h00 à h;"""Elever un enfant de 0 à 18 ans, ça coûte 50 000 euros. J'ai dit à mes enfants : Je vous donne 50 000 euros tout de suite et vous partez !"" À chacun de ses trois enfants, Olivier de Benoist s'est engagé à faire un one-man-show : Très Très Haut débit, Fournisseur d'excès et 0/40. Olivier de Benoist étant tout juste père pour la quatrième fois, il respecte donc sa parole en proposant un nouveau spectacle qu'il a appelé naturellement Le Petit Dernier !"
I Muvrini;Spectacle;Grand Place;7000;Mons;Adulte : de 31.00 à 41.00;Le 15/01/2022 : de 20h00 à h;"La musique de Jean-Jacques Goldman en live vous manque ??
 GoldmanMania réalise votre rêve et monte sur scène pour vous interpréter les plus grands titres de cette star internationale !
 Fermez les yeux pendant trente secondes et souvenez-vous… « J’irai au bout de mes rêves », «Envole moi », «Il suffira d’un signe», «Je marche seul», «Quand la musique est bonne», «Encore un matin»…?
  
 Un concert live exceptionnel par GoldmanMania : 7 artistes multi-instrumentistes qui vous feront vibrer et chanter au rythme des plus grands succès de Jean-Jacques Goldman."
Ateliers - Culture de l'imaginaire;Autre;37 Rue de Nimy;7000;Mons;"Adulte : 10.00,
Enfant : de 2.00 à 2,
Sénior : de 6.00 à 6,
Etudiant : de 2.00 à 2";"Le 27/01/2021 : de 13h00 à 17h00,
Du 03/02/2021 au 10/02/2021 : 
Tous les jours : de 13h00 à 17h00,
Le 24/02/2021 : de 13h00 à 17h00,
Le 10/03/2021 : de 13h00 à 17h00,
Du 24/03/2021 au 31/03/2021 : 
Tous les jours : de 13h00 à 17h00,
Le 21/04/2021 : de 13h00 à 17h00,
Le 05/05/2021 : de 13h00 à 17h00,
Le 19/05/2021 : de 13h00 à 17h00";"Le MACS organise une exposition rétrospective de Johan Muyle, l’un des artistes belges les plus importants de sa génération. Son œuvre protéiforme s’est nourrie de ses nombreuses rencontres et collaborations à travers le monde. Réagissant à l’actualité, il s’empare et détourne des faits divers et des événements historiques dans le but de dénoncer la vanité humaine, la tragédie de l’histoire et l’hypocrisie des religions comme de la société du spectacle. Présentant des sculptures emblématiques, des installations revisitées ou jamais montrées en Belgique aussi bien que des assemblages récents, l’exposition No Room for Regrets est conçue par le sculpteur comme un parcours immersif et interactif à travers les principales périodes de son œuvre, en dialogue pertinent avec l’architecture du musée et le site du Grand-Hornu. 
 Réservation obligatoire."
Vivement lundi! chanté avec Arts²;Spectacle;1 Rue des Passages;7000;Mons;"Adulte : 9.00,
Enfant : 2.00,
Sénior : 6.00";Le 01/02/2021 : de 19h00 à 20h00;"Suite à la réouverture des musées ce 5 décembre 2020, les visites au BAM sont limitées à 25 personnes/30 min., avec un temps de visite d’1h30.
 

 Après avoir mis à l’honneur de grands noms comme Keith Haring, Andy Warhol ou Niki de Saint-Phalle, le BAM accueille cet automne l’une des plus importantes figures de l’art du XXe siècle : Roy Lichtenstein, maître du Pop Art américain. Depuis près de 10 ans, le musée poursuit ainsi une politique d’expositions qui se veut à la fois populaire et très engagée dans des thématiques de la société actuelle.
  
 À travers une centaine d’œuvres (estampes, sculptures, tapisseries, bannières…) présentées en un parcours rétrospectif lié aux thématiques chères à l’artiste (objets, figures féminines, bande dessinée), le public est invité à découvrir une variété de techniques absolument surprenante.
  
 Cette exposition exceptionnelle révèle, à travers un étroit dialogue entre les multiples recherches autour des procédés de reproduction mécanique et les thématiques chères à Roy Lichtenstein, comment des éléments de cultures diverses se rejoignent dans son travail pour être traités avec la touche pop caractéristique de son langage personnel. Reconnaissable au premier coup d’œil, son art a attiré et influencé des générations de créateurs, de la peinture à la publicité en passant par la photographie, le design et la mode.
  
 Le BAM a fait appel à Gianni Mercurio, spécialiste de l’œuvre de Lichtenstein depuis plus de vingt ans. Précédemment commissaire de l'exposition « Roy Lichtenstein. Meditations on Art » à Milan, Fondation La Triennale (2010), il a également organisé des expositions muséales sur Andy Warhol, Keith Haring, Jean-Michel Basquiat, George Segal, Tony Oursler, David LaChapelle ou encore Anish Kapoor.
 

 Plongez dans cet univers passionnant qui soulevait avant l’heure toute une série de questionnements propres à la société actuelle tels que la consommation de masse, la publicité, … 
 

 Avec le soutien du Fonds Européen de Développement Régional (FEDER) et de la Fédération Wallonie-Bruxelles.
 En partenariat avec La Trois, la Première, Télé MB, la Libre Belgique, la Dernière Heure/Les Sports, Moustique et Belfius Banque. 
 

   

 Au coeur de l'expo Décodons le “Pop” dans nos collections
 A travers quelques œuvres issues de nos collections montoises, (re)découvrez le Pop Art européen et l’un de ses plus célèbres protagonistes toujours vivants, Peter Saul.
 Par ailleurs, décodez le langage “pop” à travers 3 thématiques: le décadrage, le corps féminin et le jazz au regard d’artistes tels que Peter Klasen, Martial Raysse...
 Le Laboratoire d’images
 Au sein de l’exposition, découvrez les différentes techniques liées à l’impression dans un véritable atelier. En plus des capsules vidéos explicatives, assistez en direct au travail d’artistes.
 

   Pour préparer votre visite Programme digital en amont de l'expo à découvrir sur notre page facebook 
 A travers cette programmation numérique, nous souhaitons vous inviter à préparer votre venue dans l'exposition.
 Découvrez le lien qui existe entre Roy Lichtenstein et la musique jazz, apprenez-en un peu plus sur son utilisation de matériaux divers et étonnants, obtenez toutes les clés de compréhension qui vous permettrons de visiter l'exposition ""clés-en-main"".
 Grâce à ces outils digitaux, notre volonté est de continuer à créer du lien et de vous donner la possibilité de partager des moments numériques conviviaux accompagnés de nos guides pour découvrir certaines grandes thématiques de l'œuvre de Roy Lichtenstein. Après avoir parcouru ces outils, n'hésitez pas à pousser la porte de l'exposition ""Roy Lichtenstein - Visions Multiples"".
 

 

  Vidéo sur les matériaux utilisés par Roy Lichtenstein   Découvrez les différents matériaux utilisés par Roy Lichtenstein pour créer des œuvres qui semblent avoir été créées par des machines.
 

  Vidéo sur les techniques utilisées par Roy Lichtenstein  Tout au long de son œuvre, Lichtenstein a testé de nombreuses techniques : céramique, bronze, gravure, sérigraphie, … Venez en découvrir quelques-unes.
 

  Vidéo sur les citations de l’Histoire de l’Art et des sujets traditionnels (still life, nus, paysages, ...)  Découvrez comment l'Histoire de l'Art n'a cessé d'influencer Roy Lichtenstein. Comment a-t-il réinterprété les œuvres de Monet, Picasso et Dali ?
 

  ""Le Jazz s'invite au BAM"": clips-vidéos de morceaux de jazz tournés au BAM Vidéo Pop Make-Up ou comment réaliser un maquillage Pop inspiré des oeuvres de Roy Lichtenstein etc.  

 Tarifs:
 Le tarif famille est applicable pour:
  minimum 3 personnes: 2 adultes + 1 enfant ou 1 adulte + 2 enfants maximum 7 personnes: 2 adultes + 5 enfants ou 1 adulte + 6 enfants  Il s'agit des enfants jusque 18 ans."
Orcw for kids /Un clown au pays de la musique classique;Spectacle;138 Rue de Nimy;7000;Mons;Gratuité :;"Du 01/02/2021 au 06/02/2021 : 
Lundi : de 09h00 à h et de 11h00 à h";"Jeux de rôle, jeux de société coopératifs, littérature // Sur inscription, à partir de 15 ans.
 ---
 Au cours de cet atelier, les participants prennent part à une table du jeu de rôle ""Donjons et Dragons"". Entre théâtre d'improvisation et jeu de société, cet exercice particulier amène les aventuriers en herbe à construire autant qu'à vivre une histoire haute en couleurs dans un univers médiéval fantastique. Elle se déclinera ensuite dans d'autres media en fonction des affinités du groupe : écriture à plusieurs mains de compte-rendus des parties, discussions autour de lectures qui viennent nourrir l'expérience, conception de scénarii et apprentissage de l'animation de jeux de rôle sur table, etc. Les participants seront autant amenés à mobiliser leur imagination et leur créativité qu'à développer curiosité et esprit critique en abordant des thèmes de société qui ouvrent à la réflexion et au débat.
 ---
 ** INFORMATIONS PRATIQUES **
 Dates :
 - Janvier : mercredi 27.01 
 - Février : mercredis 03.02, 10.02, 24.02
 - Mars : mercredis 10.03, 24.03, 31.03
 - Avril : mercredi 21.04 
 - Mai : mercredis 05.05, 19.05
 De 13h00 à 17h00, au Centre de Littérature de la Maison Losseau. 37 rue de Nimy 7000 Mons.
 ---
 Plus d'informations au +32(0)65/398.880 ou par e-mail à reservations.losseau@gmail.com"
Jackie Chan et moi;Spectacle;1 Rue des Passages;7000;Mons;"Adulte : de 9.00 à 15.00,
Article 27 : 1.25";"Du 09/02/2021 au 11/02/2021 : 
Mardi : de 21h00 à h
Mercredi : de 20h00 à h";"Présentés comme autant de voyages initiatiques dans le monde de la musique, voici quatre spectacles sans paroles où le clown, tour à tour burlesque, poétique ou magicien, partage ses émotions avec le public et la création 2021, où la musique classique est expliquée aux plus grands des petits sans clown.
 

  Partenariat Ville de Mons – Echevinat de l’Enseignement, de la Culture, de la Jeunesse et de la Lecture publique, Mars – Mons arts de la scène et ORCW.
 

 Un clown au pays de la musique classique
  
 

 Mozart et ses ami·e·s
 Lun 1er février
  9h, 11h et 13h30 [ 50′ ] — scolaires
  Sam 06 février 15h [ 50′ ] — réserver votre ticket
  Avec clown
  
  Mozart et sa Petite musique de nuit sont le fil conducteur de ce spectacle où les enfants découvrent de courtes pages de grands compositeurs, accompagné·e·s du clown tantôt burlesque, tantôt poète ou magicien.
  
  Quatuor à cordes formé par des musiciens de l’ORCW. Anne-Sophie Delire, clown."
La nuit dans tous ses états!;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;Le 25/02/2021 : de 20h00 à h;"Musiques Nouvelles et la génération ARTS²
 Nouveau rendez-vous annuel avec le formidable orchestre transgénérationnel À l’Unisson, au terme d’une semaine de résidence à Arsonic. Constitué de musicien·ne·s de Musiques Nouvelles, d’élèves et d’alumni parmi les plus talentueux·ses du Conservatoire royal de Mons, cet ensemble bourré de vitalité, alliant professionnel·le·s et jeunes talents, donne vie, corps et âme à une création de Jean-Pierre Deleuze et aux Quatro Pezzi oeuvres majeures de Jacinto Scelsi.
  
  Musiques Nouvelles / ARTS².
  Direction, Jean-Paul Dessy.
 En prélude au concert…
 Prestation par des jeunes talents de l’Académie de Musique de Mons."
Piccolo Tempo;Spectacle;1 Rue des Passages;7000;Mons;;"Du 28/02/2021 au 01/03/2021 : 
Lundi : de 09h30 à 11h00
Dimanche : de 11h00 à 16h00";
Concert confidence avec Alix Colin;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;Le 03/03/2021 : de 18h00 à 18h40 et de 19h00 à 19h40;"Un trio belge surprenant !
 Capricorn était le nom de la villa des compositeurs Samuel Barber et Gian Carlo Menotti qui ont apporté un éclairage nouveau au répertoire chambriste et à la mélodie française. Le trio éponyme rend hommage à leur conception de l’instrumentation avec les timbres particuliers de l’alto et de la voix mezzo-soprano qui se reflètent dans la fluidité du piano. De grands compositeurs, tels que Brahms, Bridge et Liszt se sont essayés à cette formation insolite et sont au programme de cette découverte.
  
  Philippe Riga, piano, Katarina Van Droogenbroeck, mezzo-soprano, et Hélène Desaint, alto.
 Programme : 
 

  Johannes Brahms, Frank Bridge, Franz Liszt, Poldowski, Charles Martin Loeffler."
Pablo Andres;Spectacle;Grand Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 04/03/2021;"Un drame lyrique et philosophique pour repenser l’humanité
 De la rencontre de deux figures essentielles de la scène littéraire belge, feu Gaston Compère et *Vincent Engel, tous deux émus du drame vécu à Auschwitz par le peuple juif, est né l’oratorio Shema Adonaï – Écoute Éternelle – qui invite Dieu à se mettre à l’écoute du chant des hommes. Réunissant force réflexive et passion pour les mots et la musique, les auteurs content la douleur d’une histoire respectueuse d’un passé de souffrance et la mêlent à l’espoir qu’autorise leur foi en une vie meilleure et plus juste.
  
  *Vincent Engel est l’auteur du livret Gaston Compère, compositeur de la partition originale.
  
  Musiques Nouvelles.
  Direction Jean-Paul Dessy.
 

  
 Dans le cadre de La Semaine de la voix, programmée du 1er au 6 mars."
Quoi qu'ils disent;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;Le 05/03/2021 : de 12h15 à 13h05;"Berceuses universelles Concert interactif
 Venez vous plonger dans l’intimité de ces artistes et découvrir leur univers singulier lors d’une pause en dehors du temps.
  
 La berceuse est un rituel de proximité et de confiance qui, à l’instar des mantras, suscite en chacun·e de nous un effet d’élévation. Chant court et répétitif, elle crée un berceau de sons, ouvre la porte des imaginaires, enveloppe de douceur et libère la tendresse.
 

 Dans le cadre de La Semaine de la voix, programmée du 1er au 6 mars."
Janis;Spectacle;8 Rue des Arbalestriers;7000;Mons;Adulte : de 29.00 à 43.00;Le 08/03/2021 : de 21h00 à h;"""Je vous préviens, si il y a bien une chose qui ne m’arrivera jamais c’est de vieillir ! J’en ai vu vieillir, des gens autour de moi, et c’est pas joli joli … Je ferai tout ce qui est en mon pouvoir pour rester celle que je suis aujourd’hui. Et si ça m’arrive, je dis bien si ça m’arrive, je ne serai pas de ces vieilles dames qui sont en pulls informes, en pantoufle et en chaussures Méfisto ! Je dis non à la chaussure Méfisto ! Mais ai-je le droit de décider ? Et si finalement je n’ai pas le choix, qui serai-je plus tard ?"""
Laurent Baffie se pose des questions;Spectacle;Grand Place;7000;Mons;Gratuité :;Le 26/03/2021 : de 20h00 à h;"Lors du confinement, Lo est retombé sur des encyclopédies ayant appartenu à son père. En les feuilletant, elle est tombée sur toutes ces belles petites gravures et a commencé à les découper, les assembler. Les petites histoires de Lo étaient nées ! 
 

 Quant à Johanne Lovera, elle développe actuellement son travail à l’encre de Chine en explorant de nouveaux formats et supports. Elle s’ouvre également à la couleur depuis peu et exposera ses dessins multicolores pour la toute première fois."
Marc Lavoine;Spectacle;Grand-Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 27/03/2021 : de 20h00 à h;"Une danse d’une intense liberté
 Carolyn Carlson nous offre une soirée composée avec, en ouverture, Mandala, pièce chorégraphique fascinante au rythme hypnotique sur une musique puissante. Véritable cœur qui bat, propulsant la vie dans un corps qui ondule et virevolte. Ensuite, improvisation, danse, lecture poétique et musique s’entremêlent pour donner naissance à des Poetry event, série de clichés instantanés issus de l’imaginaire de l’icône de la danse moderne et contemporaine."
Atelier - Couds moi ton mal !;Autre;37 Rue de Nimy;7000;Mons;"Adulte : 10.00,
Enfant : 2.00,
Sénior : 6.00";"Du 23/03/2021 au 24/03/2021 : 
Mardi : de 18h00 à 20h30
Mercredi : de 18h00 à 20h30,
Le 02/04/2021 : de 18h00 à 20h30";"À l'occasion de l'exposition ""No Room for Regrets"", découvrez l'œuvre de l'artiste Johan Muyle, l’un des artistes belges les plus novateurs de sa génération au cours d'une conférence donnée le 28 mars par Denis Gielen, directeur du MACS et commissaire de l'exposition. !!! Cet événement est susceptible d'être annulé ou reporté en fonction des mesures sanitaires en vigueur !!! Gratuit moyennant le paiement du droit d'entrée aux expositions Réservation obligatoire : reservations@grand-hornu.be / +32 (0)65 613 902 Visite guidée par Denis Gielen"
Chopin & Mendelssohn - La jeunesse du Romantisme;Spectacle;138 Rue de Nimy;7000;Mons;Gratuité :;Le 21/04/2021 : de 19h10 à h;"De nombreuses femmes subissent tous les jours des attaques physiques & morales qui laissent des traces, parfois inconscientes ou invisibles. L’atelier nous permettra d’analyser ces violences à travers le genre, les archétypes, les lieux & de les extérioriser par la création.
 Proposé dans le cadre de notre cycle « Toutes Soeurcières », la régionale de PAC Mons-Borinage, la régionale des FPS Mons Borinage, la Fondation Losseau & le Secteur Littérature de la Province de Hainaut. Animé par Margot Lassoie.
 ---
 ** INFORMATIONS PRATIQUES **
 Dates :
 - 23 mars 2021
 - 24 mars 2021
 - 02 avril 2021
 De 18h00 à 20h30
 Ateliers gratuits – Inscriptions obligatoires (jauge limitée)
 au +32 (0)65/398.880 ou sur reservations.losseau@gmail.com
 Lieu :
 Maison Losseau, 37-41 (entrée par le n°39) rue de Nimy – B – 7000 Mons"
Ceci n'est pas un poisson d'avril;Exposition;Rue de la Clef;7000;Mons;Adulte : de 60 à 60.00;Du 01/04/2021 au 02/05/2021;"Dans le cadre de l’exposition ""No Rooms for Regrets"" de l'artiste Johan Muyle, rejoins-nous pour une semaine de stage joyeusement loufoque. « Comme Johan Muyle, explore la technique de l’assemblage afin de réaliser : sculptures, dessins, collages, affiches,…À partir d’objets récoltés dans la nature mais aussi dans les réserves dumusée imagine des créatures mystérieuses et invente tes propres histoires. » Pour les enfants de 9 à 12 ans Prix : 60 € Réservation obligatoire : reservations@grand-hornu.be / +32 (0)65 613 902"
Jusque dans nos lits;Spectacle;1 Rue des Passages;7000;Mons;Gratuité :;"Du 27/04/2021 au 29/04/2021 : 
Mardi : de 18h00 à 22h30
Mercredi : de 18h00 à 22h30
Jeudi : de 18h00 à 22h30";"Cette année, l'Atelier 47b (soutenu par l'intercommunale CHUMPB) occupe les cimaises du Magasin de Papier pour une exposition à la fois à la fois joyeuse et ludique, rassemblant les œuvres d'artistes, usagers, amis et complices de l'atelier.
 Ne manquez pas le vernissage le 1er avril, un doux délire sera de la partie."
Pomme;Spectacle;Grand'Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 04/05/2021 : de 20h00 à h;"Un conte musical, imagé et poétique
 C’est l’histoire d’un roi bougon qui régnait sur un peuple de musiciens, sauf qu’il détestait la musique ! Grâce à l’écriture délicate et envoûtante de Karol Beffa, ce conte musical pour petit·e·s et grand·e·s met en valeur les timbres du violon, du violoncelle, de la clarinette et du piano, tandis que la poésie de Mathieu Laine illustre le pouvoir qu’a la musique de nous rendre heureux·ses, le tout illustré en direct par Karo Pauwels.
  
  De Mathieu Laine et Karol Beffa.
 Activités autour du spectacle
 Dim 25.04
  
  — Dès 13h30 : Coin lecture
  Sélection d’ouvrages en lien avec les thématiques du spectacle en collaboration avec le Réseau montois de lecture publique.
  
  — 13h30 → 15h30 : Atelier créatif « Au delà des frontières » en collaboration avec Blanc Murmure – gratuit.
  
  — 15h → 15h30 : Méditation en famille avec Hedwige Wyshoff – gratuit.
  
  — 16h : Spectacle Le Roi qui n’aimait pas la musique."
